Income,Age,Gender,Marital,location,employment,Education,TimeSinceLast,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8,Image9,Image10,Dependent,REST1,REST2,REST3,REST4,REST5,REST6,REST7,REST8,REST9,REST10,REST11,REST12,REST13,REST14,REST15,REST16,REST17,REST18,REST19,REST20,REST21,REST22,REST23,ATM1,ATM2,ATM3,SED1,SED2,SED3,SOC1,SOC2,SOC3,IND1,IND2,IND3,ADD1,ADD2,ADD3,SMM1,SMM2,SMM3,STM1,STM2,STM3,attention1,attention2,attention3,attention4,attention5,motor1,motor2,motor3,motor4,NP1,NP2,NP3,NP4,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13
X,19,Male,No,Aarschot,No,Criminology,20,0.85,9,0.55,30,18,0.4,0.8,8,6,16,10,2,2,4,1,5,2,4,4,5,4,2,3,3,2,2,4,1,3,3,5,3,3,5,5,5,5,4,3,5,2,2,3,3,4,3,3,5,3,3,3,3,5,4,5,4,3,4,2,2,4,4,3,3,4,3,3,2,3,2,2,3,2,4,2,4,3,3,3,4,4
Nothing,20,Female,Single,Tienen,Student,Social work,5,0.8,16,0.5,0,20,0.3,0.8,6,6,18,9,2,2,4,2,2,4,2,2,4,4,2,2,2,2,2,2,2,2,3,3,2,2,2,4,3,4,2,2,2,4,4,2,2,4,3,2,3,2,4,4,4,2,2,2,4,2,3,3,3,4,3,3,3,2,3,3,3,3,2,3,3,3,4,3,4,3,4,3,4,4
X,19,Male,No,Zagreb,No,Criminology,5,0.8,14,0.6,0,20,0.4,0.8,10,6,16,9,4,2,2,1,3,1,3,2,4,1,3,2,5,2,2,3,3,1,2,4,4,3,4,4,3,4,2,4,2,2,4,3,2,3,4,2,3,4,4,2,4,2,4,4,4,1,2,2,3,4,4,4,4,2,3,2,2,3,3,4,4,4,4,2,3,2,3,2,4,4
X,19,Male,No,Zagreb,No,Criminology,5,0.8,13,0.8,0,20,0.5,0.8,8,6,15,9,2,3,4,1,5,4,3,3,2,4,2,2,2,2,2,3,3,2,2,3,3,2,3,5,5,5,3,3,3,4,4,2,3,3,2,3,5,3,2,4,4,3,3,5,4,3,1,1,1,5,4,4,4,1,1,1,1,2,2,2,3,3,2,4,3,2,4,1,3,4
X,19,Male,No,Zagreb,No,Criminology,30,0.2,14,0.6,0.5,19,0.4,0.7,8,6,16,4,5,4,5,1,4,5,4,5,5,2,2,4,1,4,3,4,3,2,3,3,2,1,4,4,5,4,2,2,2,2,2,2,3,4,3,1,1,3,2,3,4,1,3,4,2,3,1,3,4,4,2,3,3,3,4,4,2,3,1,3,4,3,3,2,3,2,3,3,3,3
X,19,Male,No,Aarschot,No,Criminology,1,8,13,0.5,0,20,0.3,0.8,8,6,16,10,2,2,1,1,1,1,3,2,3,2,2,1,2,2,3,2,2,2,2,2,2,2,3,5,5,5,2,2,2,2,2,2,4,3,4,5,3,4,3,2,4,3,3,3,3,3,3,1,2,4,4,4,4,2,4,2,2,3,1,1,4,2,3,2,4,3,3,3,3,4
X,20,Female,Single,Leuven,Yes,Bachelor,5,0.2,10,0.5,35,20,0.4,0.8,8,6,16,9,5,4,5,1,4,5,5,4,4,2,2,4,1,4,4,4,3,2,4,3,2,1,4,4,4,4,2,2,2,2,2,2,3,4,4,1,1,3,2,3,4,1,3,4,2,3,1,3,4,4,2,3,3,3,4,4,2,3,1,3,4,3,4,2,3,2,4,3,4,3
X,20,Female,Single,Leuven,Yes,Bachelor,60,0.75,10,0.5,30,21,0.25,0.8,8,6,16,11,2,2,4,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,3,2,2,2,2,4,3,4,2,2,2,4,4,2,2,4,3,2,3,2,4,4,4,2,2,2,4,2,3,3,3,4,3,4,4,2,3,4,4,3,2,4,4,3,4,3,4,3,4,4,4,4
x,26,Male,not married,Zagreb,yes,bachelor,3,0.9,14,0.65,20,20,0.4,0.8,8,6,16,11,2,1,3,2,5,2,1,1,5,2,1,3,3,5,5,3,3,3,3,3,3,2,3,4,4,4,2,2,3,5,5,2,5,4,3,3,5,3,5,2,2,2,5,2,1,2,3,2,1,3,3,3,3,1,2,3,1,3,3,5,2,3,2,1,2,2,3,1,3,4
X,20,Female,Single,Leuven,Yes,Bachelor,10,0.8,12,0.6,0,21,0.3,0.9,8,6,16,8,1,2,3,4,5,2,5,4,3,4,2,4,2,4,2,3,2,3,3,4,3,2,4,5,5,4,4,2,2,5,4,2,4,3,3,3,4,3,4,3,4,2,2,4,4,3,3,3,3,3,4,3,4,4,4,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3
Belgium,17,Male,None,Belgium,None,Mathematics,10,0.8,11,0.5,1,20,0.3,0.8,9,6,16,8,1,2,3,4,5,2,5,4,3,4,2,4,2,4,2,3,2,3,3,4,3,2,4,5,5,4,4,2,2,5,4,2,4,3,3,3,4,3,4,3,4,2,2,4,4,3,3,3,3,3,4,3,4,4,4,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3
0,20,Male,Single,Belgium,Yes,Maths,5,0.8,13,0.6,0,19,0.3,0.8,7,6,16,9,1,3,4,1,5,3,3,3,4,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,4,1,1,1,2,2,1,3,3,2,1,3,2,2,2,1,2,2,4,2,4,4,3,2,3,1,2,2,5,5,3,3,3,2,2,1,2,2,2,5,2,1,3,3,2
x,26,Male,not married,holland,yes,bachelor,3,0.9,14,0.65,20,20,0.4,0.8,8,6,16,11,2,1,3,2,5,2,1,1,5,2,1,3,3,5,5,3,3,3,3,3,3,2,3,4,4,4,2,2,3,5,5,2,5,4,3,3,5,3,5,2,2,2,5,2,1,2,3,2,1,3,3,3,3,1,2,3,1,3,3,5,2,3,2,1,2,2,3,1,3,4
Nothing,20,Female,Single,Tienen,Student,Social work,5,0.8,16,0.5,0,20,0.3,0.8,6,6,18,9,2,2,4,2,2,4,2,2,4,4,2,2,2,2,2,2,2,2,3,3,2,2,2,4,3,4,2,2,2,4,4,2,2,4,3,2,3,2,4,4,4,2,2,2,4,2,3,3,3,4,3,3,3,2,3,3,3,3,2,3,3,3,4,3,4,3,4,3,4,4
x,26,Male,not married,Zagreb,yes,bachelor,3,0.9,14,0.65,20,20,0.4,0.8,8,6,16,11,2,1,3,2,5,2,1,1,5,2,1,3,3,5,5,3,3,3,3,3,3,2,3,4,4,4,2,2,3,5,5,2,5,4,3,3,5,3,5,2,2,2,5,2,1,2,3,2,1,3,3,3,3,1,2,3,1,3,3,5,2,3,2,1,2,2,3,1,3,4
x,21,Male,Not married,Leuven,Student,High School,3,0.8,11,0.6,0,19,0.4,0.7,8,5,14,6,4,3,4,1,5,3,4,5,5,4,2,3,3,2,3,5,2,3,3,2,2,2,1,4,5,5,3,3,2,4,3,4,3,3,2,3,5,5,2,3,5,3,4,3,4,3,4,3,4,3,4,3,4,3,2,2,3,5,4,3,4,2,5,2,3,4,3,3,3,3
